est_address,employees,¿en su empresa o comercio cuentan con colaboradoras mujeres?,female_employees,porcentaje mujeres,female_emplo_distri,women_distri_percentage,female_distri_vincu,hired_women_percentage,female_popg,female_support,economic_activity,specific_activity,main_products,warehouse,number_warehouse,warehouse_floor,warehouse_area,warehouse_height,zuap_warehouse,warehouse_municipality,warehouse_type,supply_day,supply_week,supply_schedule,supply_unloading,supply_safety_percep,supply_bic_safety_perception,warehouse_equipement,delivery_transp_mode,num_deliveries,online_trans_mode,num_online_deliveries
Carrera 54 45 39,8,Sí,6.0,0.75,0.0,0.0,6.0,1.0,"Madres cabeza de familia, Ninguna de las anteriores",Sí,Venta al detalle,Venta de calzado,calzado,Interno,4.0,1.0,110.0,3.0,Sí,Medellín,Recepción de mercancías,"Jueves, Viernes",3,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00","En camión, sobre el andén, En carreta ""zorrilla""",5,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
cra 52 a 45 97,4,Sí,4.0,1.0,1.0,0.25,4.0,1.0,Madres cabeza de familia,No,Fabricante,Confección y moda,moda y textiles,Interno,1.0,2.0,10.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,15:00 a 16:00,"En motocicleta, En carreta ""zorrilla""",5,5,1,No se realizan domicilios,5,Caminata,5
CR 55carrera 52 a 45 101,10,Sí,8.0,0.8,1.0,0.125,8.0,1.0,"Madres cabeza de familia, Víctimas del conflicto armado, Mujeres transgénero",No,Venta al detalle Bolsos,Venta de calzado Bolsos,calzado,Interno,1.0,1.0,100.0,4.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",5,08:00 a 09:00,"En camión, estacionado en bahía y la ingresa el personal de mi empresa, En camión, sobre la vía",5,3,Carretilla,Motocicleta,4,Motocicleta,5
Carrera 52  46 68,4,Sí,3.0,0.75,1.0,0.3333333333333333,3.0,1.0,Ninguna de las anteriores,No,Fabricante,Confección y moda,moda y textiles,Interno,1.0,2.0,30.0,3.0,Sí,Medellín,Recepción de mercancías,Lunes,1 vez por semana,08:00 a 09:00,"En carreta ""zorrilla""",5,5,1,Motocicleta,1,Van,2
Cra 54a 54 21,5,Sí,2.0,0.4,0.0,0.0,2.0,1.0,Ninguna de las anteriores,Sí,Proveedor,Venta de calzado,calzado,Interno,2.0,1.0,256.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, sobre la vía",5,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Cll 45a 55 104 ,20,Sí,7.0,0.35,0.0,0.0,7.0,1.0,Madres cabeza de familia,Sí,Venta al detalle Maquinaria,Ferretería Maquinaria,ferreteria,Interno,1.0,1.0,250.0,5.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",4,"06:00 a 07:00, 07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00","En camión, sobre la vía",5,1,Ninguna ,No se realizan domicilios,0,No se realizan ventas por internet,0
Kr 49 45 09,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Madres cabeza de familia,Sí,Venta al detalle Construcción liviana,Decoración Construcción liviana,articulos para el hogar,No,0.0,,,,,,,"Lunes, Viernes",2,"12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa",4,4,Ninguno,Motocicleta,4,Motocicleta,2
Cr 51 44 45,1,Sí,1.0,1.0,0.0,0.0,0.0,0.0,Ninguna de las anteriores,No,Venta al detalle,Celulares ,electronica,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",La periodicidad es quincenal,"07:00 a 08:00, 08:00 a 09:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00",En vehículo particular,5,3,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0
Cra 54 46 91 ,20,Sí,15.0,0.75,0.0,0.0,15.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Venta de productos de belleza,cosmeticos y productos de belleza,Interno,2.0,2.0,136.0,4.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves",6 o más,"06:00 a 07:00, 07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En camión, sobre la vía",1,1,Ninguno,Motocicleta,5,No se realizan ventas por internet,0
Kr 56b 46 20,3,No,,0.0,,,,,,,Venta al detalle Maderas,Carpintería Maderas,maderas,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En carreta ""zorrilla""",5,5,Ninguno,No se realizan domicilios,0,Cliente recoje en negocio,0
Cr 55 46 18,3,Sí,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,Ninguna de las anteriores,Sí,Venta al detalle,Cobijas y toallas,articulos para el hogar,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00","En carreta ""zorrilla""",5,2,Ninguna,Motocicleta,4,No se realizan ventas por internet,0
Cr 54 45 10,4,Sí,1.0,0.25,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle Venta de calzado,Confección y moda Venta de calzado,moda y textiles,Interno,1.0,1.0,10.0,3.0,Sí,Medellín,Recepción de mercancías,"Jueves, Viernes",4,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En carreta ""zorrilla""",5,1,Carretilla,"Caminata, Motocicleta",3,No se realizan ventas por internet,0
Kr 56b 46 36,8,Sí,2.0,0.25,0.0,0.0,0.0,0.0,Ninguna de las anteriores,Sí,Venta al detalle Madera seca,Carpintería Madera seca,maderas,No,0.0,,,,,,,"Lunes, Miércoles, Viernes",3,"08:00 a 09:00, 09:00 a 10:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa",4,4,Carretilla,Vehículo particular,4,Vehículo particular,2
Carrera 53 a 45 18,4,Sí,2.0,0.5,1.0,0.5,1.0,0.5,Madres cabeza de familia,Sí,Proveedor,Bisuteria ,articulos para el hogar,"Externo, alquilado",1.0,2.0,80.0,3.0,Sí,Medellín,Almacenamiento de inventarios,Lunes,La periodicidad es mensual,09:00 a 10:00,"En camión, estacionado en zona bahía y la ingresa la empresa transportadora",5,2,Carretilla,"Caminata, Motocicleta",5,No se realiza,1
Cra 53 45-115,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Fabricante,Confección y moda,moda y textiles,Interno,1.0,3.0,80.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",3,"08:00 a 09:00, 09:00 a 10:00",En vehículo particular,5,1,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0
Cra 49 45 05,1,No,,0.0,,,,,,,Venta al detalle Cigarrería,Confitería Cigarrería,"cacao, chocolate y confiteria",No,0.0,,,,,,,Jueves,1 vez por semana,"08:00 a 09:00, 14:00 a 15:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En motocicleta, En carreta ""zorrilla""",4,4,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Kr 45 46 51,2,No,,0.0,,,,,,,Venta al detalle Imprenta,Papelería Imprenta,papeleria,No,0.0,,,,,,,Lunes,2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00",En vehículo particular,3,3,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0
CL 46 56 54,5,Sí,3.0,0.6,0.0,0.0,2.0,0.6666666666666666,Ninguna de las anteriores,Sí,Venta al detalle,Materiales insumos muebles hogar,materiales de construccion,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En carreta ""zorrilla""",3,4,"Carretilla, Rampa fija",Motocicleta,1,No se realizan ventas por internet,0
Kr 56b 4626,3,Sí,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,Víctimas del conflicto armado,Sí,Venta al detalle Maderas,Carpintería Maderas,maderas,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En carreta ""zorrilla""",3,3,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Kr 56b 46 28,6,Sí,2.0,0.3333333333333333,1.0,0.5,2.0,1.0,Mujeres pertenecientes a grupos étnicos,Sí,Venta al detalle Aglomerados,Carpintería Aglomerados,maderas,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, se descarga internamente, En camión, estacionado en bahía y la ingresa el personal de mi empresa",5,5,Rampa fija,Carro particular,1,No se realizan ventas por internet,0
Kra 5646 52,5,Sí,1.0,0.2,0.0,0.0,0.0,0.0,Ninguna de las anteriores,Sí,Venta al detalle Madera chingale,Carpintería Madera chingale,maderas,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00",En vehículo particular,4,4,Ninguna,No se realizan domicilios,0,No se realizan ventas por internet,0
Col 48 54 73,24,Sí,21.0,0.875,0.0,0.0,10.0,0.47619047619047616,"Madres cabeza de familia, Migrantes, Víctimas del conflicto armado, Mujeres transgénero",No,Venta al detalle Decoracion,Textiles Decoracion,moda y textiles,Interno,1.0,1.0,2500.0,2.2,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",2,"09:00 a 10:00, 15:00 a 16:00","En camión, sobre la vía, En carreta ""zorrilla""",1,1,Carretilla,"Motocicleta, Furgón",3,"Motocicleta, Furgón",0
CL 48 54 43,3,Sí,2.0,0.6666666666666666,0.0,0.0,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Venta de productos de belleza,cosmeticos y productos de belleza,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00","En carreta ""zorrilla""",3,3,Carretilla,No se realizan domicilios,0,Motocicleta,6
Kr 55 46 33,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Mascotas,productos veterinarios y mascotas,No,0.0,,,,,,,"Lunes, Martes",2,08:00 a 09:00,"En carreta ""zorrilla""",4,4,Carretilla,Caminata,3,No se realizan ventas por internet,0
Kr 55 46 15,6,Sí,1.0,0.16666666666666666,0.0,0.0,1.0,1.0,Madres cabeza de familia,No,Venta al detalle,Ferretería,ferreteria,Interno,20.0,1.0,20.0,4.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla""",4,4,Carretilla,"Motocicleta, Carreta ""zorrilla""",1,No se realizan ventas por internet,0
Kr 55 46 04,4,Sí,1.0,0.25,0.0,0.0,1.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Papelería,papeleria,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 17:00 a 18:00, 18:00 a 19:00","En carreta ""zorrilla""",3,3,Carretilla,"Motocicleta, Carreta ""zorrilla""",5,No se realizan ventas por internet,0
CL 48 5429,3,Sí,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,Madres cabeza de familia,No,Proveedor,Textiles,moda y textiles,Interno,10.0,1.0,15.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",4,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 18:00 a 19:00","En carreta ""zorrilla""",4,4,"Carretilla, Parqueadero de uso interno","No se realizan domicilios, Van",0,No se realizan ventas por internet,0
CL 48 54 43 local 101,2,No,,0.0,,,,,,,Venta al detalle,Ferretería,ferreteria,No,0.0,,,,,,,Martes,1 vez por semana,"08:00 a 09:00, 09:00 a 10:00","En carreta ""zorrilla""",3,3,Carretilla,Caminata,0,No se realizan ventas por internet,0
CL 48 54 43,2,Sí,1.0,0.5,0.0,0.0,0.0,0.0,Ninguna de las anteriores,No,Venta al detalle,Servicios de salud,productos medicos y de salud,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,08:00 a 09:00,"En motocicleta, En carreta ""zorrilla""",2,2,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
CL 48 54 36,5,Sí,2.0,0.4,0.0,0.0,2.0,1.0,"Madres cabeza de familia, Víctimas del conflicto armado",Sí,Venta al detalle,Textiles,moda y textiles,Interno,50.0,1.0,50.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En camión, se descarga internamente, En carreta ""zorrilla""",1,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
CL 48 54 32,6,Sí,4.0,0.6666666666666666,4.0,1.0,4.0,1.0,Madres cabeza de familia,No,Venta al detalle,Textiles,moda y textiles,Interno,20.0,2.0,40.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00","En motocicleta, En carreta ""zorrilla""",4,4,Al hombro,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 53 46-13 118,2,Sí,2.0,1.0,0.0,0.0,2.0,1.0,Madres cabeza de familia,No,Venta al detalle,Lencería,moda y textiles,Interno,1.0,1.0,3.0,3.0,Sí,Medellín,Almacenamiento de inventarios,Lunes,2,10:00 a 11:00,"En camión, sobre la vía",1,3,Ninguno ,Motocicleta,2,"Motocicleta, Van, Furgón",3
Carrera 53 46 13 105,6,Sí,3.0,0.5,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Dulceria,"cacao, chocolate y confiteria","Externo, alquilado",1.0,2.0,5.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Viernes, Sábado",1 vez por semana,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En camión, sobre la vía, En motocicleta, En carreta ""zorrilla""",3,4,Carretilla,"Motocicleta, Van",7,Motocicleta,1
Carrera 53 46 17,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Perfumería,cosmeticos y productos de belleza,No,0.0,,,,,,,Miércoles,La periodicidad es quincenal,"13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, en vías aledañas, En carreta ""zorrilla""",4,2,Ninguno,Motocicleta,3,"Van, Carreta ""zorrilla""",3
Carrera 53 46 27,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Madres cabeza de familia,No,Fabricante,Vitrinas ,muebles de oficina,"Externo, propio",1.0,1.0,70.0,5.0,Sí,Medellín,Otro ¿cuál?,Lunes,La periodicidad es quincenal,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En camión, sobre la vía, En carreta ""zorrilla""",5,1,Ninguno ,Furgón,1,Furgón,1
Carrera 53 46 31 114,1,Sí,1.0,1.0,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Pijamas,moda y textiles,Interno,1.0,1.0,5.0,5.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",1 vez por semana,"16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00",En motocicleta,3,1,Carretilla,Motocicleta,1,"Motocicleta, Van",1
CL 48 54 76,8,Sí,1.0,0.125,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Ferretería,ferreteria,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00","En carreta ""zorrilla""",4,4,No tiene ninguna,"No se realizan domicilios, Motocarga gasolina",10,No se realizan ventas por internet,0
Cr 55 46 42,5,Sí,1.0,0.2,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle Madera cruda,Carpintería Madera cruda,maderas,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"08:00 a 09:00, 12:00 a 13:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa, En carreta ""zorrilla""",3,3,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 53 46 31 116,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Venta de calzado,calzado,Interno,2.0,2.0,3.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes",La periodicidad es quincenal,09:00 a 10:00,"En carreta ""zorrilla""",3,4,Carretilla,Motocicleta,2,Motocicleta,2
Kra 54 45a54,1,Sí,1.0,1.0,0.0,0.0,1.0,1.0,"Madres cabeza de familia, Víctimas del conflicto armado",No,Venta al detalle,Pasteles horneados,productos alimenticios,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,08:00 a 09:00,En bicicleta,5,5,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0
cra 53 48 04,8,Sí,5.0,0.625,2.0,0.4,2.0,0.4,Migrantes,Sí,Venta al detalle,Textiles,moda y textiles,Interno,1.0,1.0,20.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En carreta ""zorrilla""",2,2,Carretilla,Motocicleta,1,Motocicleta,5
cra 54 46 90,3,Sí,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,Madres cabeza de familia,No,Venta al detalle,Textiles,moda y textiles,Interno,1.0,1.0,8.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Jueves, Sábado",5,10:00 a 11:00,"En carreta ""zorrilla""",2,2,Carretilla,No se realizan domicilios,0,"Bicicleta normal, Carreta ""zorrilla""",0
Carrera 53 #46-13,5,Sí,5.0,1.0,0.0,0.0,1.0,0.2,Madres cabeza de familia,No,Venta al detalle,Cacharros ,articulos para el hogar,No,0.0,,,,,,,Miércoles,1 vez por semana,"08:00 a 09:00, 09:00 a 10:00","En carreta ""zorrilla""",5,1,Carretilla,Motocicleta,2,No se realizan ventas por internet,0
Carrera 53 46 17 ,2,Sí,1.0,0.5,0.0,0.0,0.0,0.0,Madres cabeza de familia,No,Venta al detalle,Perfumería,cosmeticos y productos de belleza,No,0.0,,,,,,,Lunes,1 vez por semana,10:00 a 11:00,En motocicleta,3,3,Ninguno ,Motocicleta,4,No se realizan ventas por internet,0
Carrera 53#46-31 116,2,No,,0.0,,,,,,,Venta al detalle,Ropa,moda y textiles,No,0.0,,,,,,,Martes,2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00",En vehículo particular,3,2,No,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 53 48 58,6,Sí,5.0,0.8333333333333334,1.0,0.2,1.0,0.2,Migrantes,No,Venta al detalle,Textiles,moda y textiles,Interno,1.0,1.0,10.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 13:00 a 14:00","En carreta ""zorrilla""",3,3,Carretilla,"Motocicleta, Transportadora",0,No se realizan ventas por internet,0
Carrera 53 46 35 102c,2,No,,0.0,,,,,,,Venta al detalle,Perfumería,cosmeticos y productos de belleza,No,0.0,,,,,,,Lunes,1 vez por semana,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00",En vehículo particular,4,3,Ninguno,Motocicleta,1,No se realizan ventas por internet,0
CL 47 52a23,11,Sí,9.0,0.8181818181818182,0.0,0.0,9.0,1.0,Madres cabeza de familia,No,Venta al detalle,Textiles,moda y textiles,No,0.0,,,,,,,"Martes, Jueves",6 o más,10:00 a 11:00,"En camión, estacionado en bahía y la ingresa el personal de mi empresa",3,3,Carretilla,"Caminata, Carreta ""zorrilla""",9,Transportadora,9
cra 54 46 48,5,Sí,3.0,0.6,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Textiles,moda y textiles,Interno,1.0,1.0,20.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,09:00 a 10:00,"En carreta ""zorrilla""",2,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Cra 54 46 30,8,Sí,6.0,0.75,0.0,0.0,6.0,1.0,"Madres cabeza de familia, Migrantes",No,Venta al detalle,Textiles,moda y textiles,"Externo, propio",2.0,2.0,300.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 14:00 a 15:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa, En carreta ""zorrilla""",2,2,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 53 46 32,2,Sí,1.0,0.5,0.0,0.0,0.0,0.0,Ninguna de las anteriores,Sí,Venta al detalle,Lencería,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En carreta ""zorrilla""",5,5,Carretilla,"Caminata, Motocicleta",1,"Motocicleta, Vehículo particular, Van",1
Carrera 52a#46-17,2,Sí,2.0,1.0,0.0,0.0,2.0,1.0,Madres cabeza de familia,No,Proveedor,Ropa ,moda y textiles,Interno,2.0,2.0,20.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",5,1,Carretilla,"Caminata, Motocicleta",2,"Caminata, Motocicleta, Van, Furgón",1
Carrera 52a#46 23 ,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Fabricante,Ropa,moda y textiles,Interno,1.0,1.0,10.0,5.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"10:00 a 11:00, 11:00 a 12:00","En motocicleta, En carreta ""zorrilla""",5,1,Ninguno,Motocicleta,2,"Motocicleta, Van, Furgón",6
Calle 47#52a-45 segundo piso ,9,Sí,6.0,0.6666666666666666,0.0,0.0,6.0,1.0,Madres cabeza de familia,No,Ventas por internet,Elementos misceláneos,articulos para el hogar,No,0.0,,,,,,,Viernes,1 vez por semana,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00",En vehículo particular,5,2,Ninguno,Motocicleta,10,Motocicleta,10
Cr 54 46 64,4,Sí,2.0,0.5,0.0,0.0,0.0,0.0,Madres cabeza de familia,No,Venta al detalle,Textiles,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"08:00 a 09:00, 15:00 a 16:00","En carreta ""zorrilla""",1,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
